type,time_received_ns,sequence_num,sampling_rate,sampler_address,time_flow_start_ns,time_flow_end_ns,bytes,packets,src_addr,dst_addr,etype,proto,src_port,dst_port,in_if,out_if,src_mac,dst_mac,src_vlan,dst_vlan,vlan_id,ip_tos,forwarding_status,ip_ttl,ip_flags,tcp_flags,icmp_type,icmp_code,ipv6_flow_label,fragment_id,fragment_offset,src_as,dst_as,next_hop,next_hop_as,src_net,dst_net,bgp_next_hop,observation_domain_id,observation_point_id,ipv6_routing_header_seg_left
IPFIX,1.72928E+18,5034170,0,192.168.33.197,1729276231969000000.00,1729276399355000000.00,13521,24,10.232.224.84,10.55.1.83,IPv4,TCP,60385,80,4,0,00:00:00:00:00:00,00:00:00:00:00:00,0,0,0,0,64,0,0,26,0,0,0,0,0,0,0,,0,10.232.224.80/29,10.55.0.0/16,,0,0,0
IPFIX,1.72928E+18,5034166,0,192.168.33.197,1729276231969000000.00,1729276399355000000.00,15024,24,10.232.224.84,10.55.1.83,IPv4,TCP,60385,80,0,6,00:00:00:00:00:00,00:00:00:00:00:00,0,0,0,72,64,0,0,26,0,0,0,0,0,0,0,,0,10.232.224.80/29,10.55.0.0/16,,0,0,0
IPFIX,1.72928E+18,5034170,0,192.168.33.197,1728988488471000000.00,1729276399355000000.00,16080,33,10.232.224.84,10.55.1.83,IPv4,TCP,61907,9998,0,6,00:00:00:00:00:00,00:00:00:00:00:00,0,0,0,72,64,0,0,26,0,0,0,0,0,0,0,,0,10.232.224.80/29,10.55.0.0/16,,0,0,0
IPFIX,1.72928E+18,5034166,0,192.168.33.197,1729276231969000000.00,1729276399355000000.00,15408,24,10.55.1.83,10.232.224.84,IPv4,TCP,80,60385,6,0,00:00:00:00:00:00,00:00:00:00:00:00,0,0,0,0,64,0,0,26,0,0,0,0,0,0,0,,0,10.55.0.0/16,10.232.224.80/29,,0,0,0
IPFIX,1.72928E+18,5034173,0,192.168.33.197,1729001004525000000.00,1729276399355000000.00,640,4,10.232.224.84,10.55.1.83,IPv4,TCP,56598,80,0,6,00:00:00:00:00:00,00:00:00:00:00:00,0,0,0,0,64,0,0,26,0,0,0,0,0,0,0,,0,10.232.224.80/29,10.55.0.0/16,,0,0,0
IPFIX,1.72928E+18,5034173,0,192.168.33.197,1729001004525000000.00,1729276399355000000.00,1024,8,10.55.1.83,10.232.224.84,IPv4,TCP,80,56598,6,0,00:00:00:00:00:00,00:00:00:00:00:00,0,0,0,0,64,0,0,26,0,0,0,0,0,0,0,,0,10.55.0.0/16,10.232.224.80/29,,0,0,0
IPFIX,1.72928E+18,5034173,0,192.168.33.197,1729001004525000000.00,1729276399355000000.00,468,8,10.55.1.83,10.232.224.84,IPv4,TCP,80,56598,0,4,00:00:00:00:00:00,00:00:00:00:00:00,0,0,0,0,64,0,0,26,0,0,0,0,0,0,0,,0,10.55.0.0/16,10.232.224.80/29,,0,0,0
IPFIX,1.72928E+18,5034179,0,192.168.33.197,1729001004525000000.00,1729276399355000000.00,324,4,10.232.224.84,10.55.1.83,IPv4,TCP,56598,80,4,0,00:00:00:00:00:00,00:00:00:00:00:00,0,0,0,0,64,0,0,26,0,0,0,0,0,0,0,,0,10.232.224.80/29,10.55.0.0/16,,0,0,0
IPFIX,1.72928E+18,5034179,0,192.168.33.197,1729057036992000000.00,1729276399355000000.00,1088,8,10.232.224.84,4.249.240.62,IPv4,TCP,58669,443,0,6,00:00:00:00:00:00,00:00:00:00:00:00,0,0,0,72,64,0,0,26,0,0,0,0,0,0,0,,0,10.232.224.80/29,0.0.0.0/0,,0,0,0
IPFIX,1.72928E+18,5034179,0,192.168.33.197,1729057036992000000.00,1729276399355000000.00,704,4,4.249.240.62,10.232.224.84,IPv4,TCP,443,58669,6,0,00:00:00:00:00:00,00:00:00:00:00:00,0,0,0,0,64,0,0,26,0,0,0,0,0,0,0,,0,0.0.0.0/0,10.232.224.80/29,,0,0,0
IPFIX,1.72928E+18,5034176,0,192.168.33.197,1728988488471000000.00,1729276399355000000.00,4816,28,10.55.1.83,10.232.224.84,IPv4,TCP,9998,61907,6,0,00:00:00:00:00:00,00:00:00:00:00:00,0,0,0,0,64,0,0,26,0,0,0,0,0,0,0,,0,10.55.0.0/16,10.232.224.80/29,,0,0,0
IPFIX,1.72928E+18,5034176,0,192.168.33.197,1728988488471000000.00,1729276399355000000.00,2065,28,10.55.1.83,10.232.224.84,IPv4,TCP,9998,61907,0,4,00:00:00:00:00:00,00:00:00:00:00:00,0,0,0,0,64,0,0,26,0,0,0,0,0,0,0,,0,10.55.0.0/16,10.232.224.80/29,,0,0,0
